方案名称,运输方式代码,分区代码,国家
郑州邮政小包PLUS,ZZZYPL,1,FR
郑州邮政小包PLUS,ZZZYPL,2,DE
郑州邮政小包PLUS,ZZZYPL,3,NZ
郑州邮政小包PLUS,ZZZYPL,4,PL
郑州邮政小包PLUS,ZZZYPL,5,SK
郑州邮政小包PLUS,ZZZYPL,6,HR
郑州邮政小包PLUS,ZZZYPL,7,CZ
郑州邮政小包PLUS,ZZZYPL,8,SI
深圳邮政小包PLUS分区,SZZYPL,1,FR
深圳邮政小包PLUS分区,SZZYPL,2,DE
深圳邮政小包PLUS分区,SZZYPL,3,NZ
深圳邮政小包PLUS分区,SZZYPL,4,PL
深圳邮政小包PLUS分区,SZZYPL,5,SK
深圳邮政小包PLUS分区,SZZYPL,6,HR
深圳邮政小包PLUS分区,SZZYPL,7,CZ
深圳邮政小包PLUS分区,SZZYPL,8,SI
燕文中邮PLUS,YWZYPL,1,FR
燕文中邮PLUS,YWZYPL,2,DE
燕文中邮PLUS,YWZYPL,3,NZ
燕文中邮PLUS,YWZYPL,4,PL
燕文中邮PLUS,YWZYPL,5,SK
燕文中邮PLUS,YWZYPL,6,HR
燕文中邮PLUS,YWZYPL,7,CZ
燕文中邮PLUS,YWZYPL,8,SI
郑州邮政小包平邮分区NEW,ZZZYPY,1,JP
郑州邮政小包平邮分区NEW,ZZZYPY,2,AT|BG|ID|IN|KR|MY|SG|SK|TH
郑州邮政小包平邮分区NEW,ZZZYPY,3,BE|CH|DK|FI|GR|IE|IT|PT|CZ|PL
郑州邮政小包平邮分区NEW,ZZZYPY,4,AM|AZ|BA|BY|CA|CY|EE|ES|KG|KP|KZ|LK|LT|LU|LV|MN|MT|OM|PH|PK|QA|RO|SA|SY|TM|TR|UA|US|UZ|VN|NZ|FR|SI
郑州邮政小包平邮分区NEW,ZZZYPY,5,AD|AE|AF|AL|AO|AR|AS|BH|BI|BJ|BN|BR|BT|BW|CI|CK|CM|CO|CU|DJ|DZ|EC|EG|ET|FJ|FM|GA|GE|GH|GI|GM|GN|GQ|GU|GW|IQ|IR|IS|JO|KE|KH|KI|KW|LA|LB|LI|LR|LY|MA|MC|MD|ME|MG|MH|MK|ML|MM|MR|MU|MV|MW|MX|MZ|NA|NE|NG|NP|PA|PE|PF|PG|RS|RW|SC|SD|SL|SM|SN|SO|SR|SZ|TG|TN|TO|TZ|UG|VA|VE|VU|XH|XI|YE|ZA|ZM|ZW
郑州邮政小包平邮分区NEW,ZZZYPY,6,AI|AN|AW|BB|BM|BS|BZ|CL|CR|DO|GD|GF|GL|GP|GY|HN|HT|JM|KY|MQ|NI|PM|PR|PY|SV|TT|UY|VI
郑州邮政小包平邮分区NEW,ZZZYPY,7,RU
郑州邮政小包平邮分区NEW,ZZZYPY,8,AU|DE|GB|HR|HU|IL|NL|NO|SE
杭州E邮宝线下分区NEW,HZSDXX,1,US
杭州E邮宝线下分区NEW,HZSDXX,2,RU
杭州E邮宝线下分区NEW,HZSDXX,3,AU
杭州E邮宝线下分区NEW,HZSDXX,4,FR
杭州E邮宝线下分区NEW,HZSDXX,5,DE
杭州E邮宝线下分区NEW,HZSDXX,6,GB
杭州E邮宝线下分区NEW,HZSDXX,7,CA
杭州E邮宝线下分区NEW,HZSDXX,8,IL
杭州E邮宝线下分区NEW,HZSDXX,9,NO
杭州E邮宝线下分区NEW,HZSDXX,10,SA
杭州E邮宝线下分区NEW,HZSDXX,11,UA
杭州EMS速递分区,HZSDEM,1,HK|MO|TW
杭州EMS速递分区,HZSDEM,2,JP|KP|KR
杭州EMS速递分区,HZSDEM,3,ID|KH|MN|MY|PH|SG|TH|VN
杭州EMS速递分区,HZSDEM,4,AU|NZ|PG
杭州EMS速递分区,HZSDEM,5,US
杭州EMS速递分区,HZSDEM,6,AT|BE|CA|CH|DE|DK|ES|FI|FR|GB|GR|IE|IT|LU|MT|NO|PT|SE
杭州EMS速递分区,HZSDEM,7,BD|IN|LA|LK|NP|PK|TR
杭州EMS速递分区,HZSDEM,8,AE|AR|BR|BY|CO|CU|CZ|GY|HU|IL|JO|MX|PA|PE|PL|RU|UA
杭州EMS速递分区,HZSDEM,9,BF|BG|BH|BW|CD|CG|CI|CY|DJ|EE|EG|ET|GA|GH|GN|HR|IR|KE|KW|KY|KZ|LV|MA|MG|ML|MZ|NE|NG|OM|QA|RO|RW|SA|SN|SY|TD|TN|UG
顺邮宝挂号分区2,SYSYGH2,1,BR
顺邮宝挂号分区2,SYSYGH2,2,CA
顺邮宝挂号分区2,SYSYGH2,3,RU
顺邮宝挂号分区2,SYSYGH2,4,AU
顺邮宝挂号分区2,SYSYGH2,5,DE
顺邮宝挂号分区2,SYSYGH2,6,HU
顺邮宝挂号分区2,SYSYGH2,7,NZ
顺邮宝挂号分区2,SYSYGH2,8,PL
顺邮宝挂号分区2,SYSYGH2,9,US
顺邮宝挂号分区2,SYSYGH2,10,ES
顺邮宝挂号分区2,SYSYGH2,11,GB
顺邮宝挂号分区2,SYSYGH2,12,DK
顺邮宝挂号分区2,SYSYGH2,13,FR
顺邮宝挂号分区2,SYSYGH2,14,JP
顺邮宝挂号分区2,SYSYGH2,15,TR
顺邮宝挂号分区2,SYSYGH2,16,AT
顺邮宝挂号分区2,SYSYGH2,17,BE
顺邮宝挂号分区2,SYSYGH2,18,NL
顺邮宝挂号分区2,SYSYGH2,19,NO
顺邮宝挂号分区2,SYSYGH2,20,CH
顺邮宝挂号分区2,SYSYGH2,21,IN
顺邮宝挂号分区2,SYSYGH2,22,IE
顺邮宝挂号分区2,SYSYGH2,23,CZ
顺邮宝挂号分区2,SYSYGH2,24,PT
顺邮宝挂号分区2,SYSYGH2,25,IT
顺邮宝挂号分区2,SYSYGH2,26,SG
顺邮宝平邮plus分区2,SYSYPP2,1,BR
顺邮宝平邮plus分区2,SYSYPP2,2,CA
顺邮宝平邮plus分区2,SYSYPP2,3,RU
顺邮宝平邮plus分区2,SYSYPP2,4,AU
顺邮宝平邮plus分区2,SYSYPP2,5,DE
顺邮宝平邮plus分区2,SYSYPP2,6,HU
顺邮宝平邮plus分区2,SYSYPP2,7,NZ
顺邮宝平邮plus分区2,SYSYPP2,8,PL
顺邮宝平邮plus分区2,SYSYPP2,9,US
顺邮宝平邮plus分区2,SYSYPP2,10,ES
顺邮宝平邮plus分区2,SYSYPP2,11,GB
顺邮宝平邮plus分区2,SYSYPP2,12,DK
顺邮宝平邮plus分区2,SYSYPP2,13,FR
顺邮宝平邮plus分区2,SYSYPP2,15,TR
顺邮宝平邮plus分区2,SYSYPP2,16,AT
顺邮宝平邮plus分区2,SYSYPP2,17,BE
顺邮宝平邮plus分区2,SYSYPP2,18,NL
顺邮宝平邮plus分区2,SYSYPP2,19,NO
顺邮宝平邮plus分区2,SYSYPP2,20,CH
顺邮宝平邮plus分区2,SYSYPP2,22,IE
顺邮宝平邮plus分区2,SYSYPP2,23,CZ
顺邮宝平邮plus分区2,SYSYPP2,24,PT
顺邮宝平邮plus分区2,SYSYPP2,25,IT
顺邮宝平邮分区2,SYSYPY2,1,BR
顺邮宝平邮分区2,SYSYPY2,2,CA
顺邮宝平邮分区2,SYSYPY2,3,RU
顺邮宝平邮分区2,SYSYPY2,4,AU
顺邮宝平邮分区2,SYSYPY2,5,DE
顺邮宝平邮分区2,SYSYPY2,6,HU
顺邮宝平邮分区2,SYSYPY2,7,NZ
顺邮宝平邮分区2,SYSYPY2,8,PL
顺邮宝平邮分区2,SYSYPY2,9,US
顺邮宝平邮分区2,SYSYPY2,10,ES
顺邮宝平邮分区2,SYSYPY2,11,GB
顺邮宝平邮分区2,SYSYPY2,12,DK
顺邮宝平邮分区2,SYSYPY2,13,FR
顺邮宝平邮分区2,SYSYPY2,14,JP
顺邮宝平邮分区2,SYSYPY2,15,TR
顺邮宝平邮分区2,SYSYPY2,16,AT
顺邮宝平邮分区2,SYSYPY2,17,BE
顺邮宝平邮分区2,SYSYPY2,18,NL
顺邮宝平邮分区2,SYSYPY2,19,NO
顺邮宝平邮分区2,SYSYPY2,20,CH
顺邮宝平邮分区2,SYSYPY2,21,IN
顺邮宝平邮分区2,SYSYPY2,22,IE
顺邮宝平邮分区2,SYSYPY2,23,CZ
顺邮宝平邮分区2,SYSYPY2,24,PT
顺邮宝平邮分区2,SYSYPY2,25,IT
顺邮宝平邮分区2,SYSYPY2,26,SG
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,1,GB
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,2,FR
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,3,DE
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,4,NL
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,5,BE
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,6,TR
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,7,DM
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,8,CH
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,9,RU
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,10,US
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,11,AU
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,12,BR
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,13,CA
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,14,ES
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,15,IE
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,16,BY
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,17,MO
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,18,ZA
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,19,BO
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,20,HU
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,21,IN
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,22,JP
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,23,KR
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,24,NZ
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,25,SG
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,26,TH
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,27,AT
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,28,CL
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,29,CZ
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,30,FI
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,31,GR
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,32,ID
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,33,IL
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,34,IT
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,35,MX
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,36,NO
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,37,PT
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,38,SA
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,39,LK
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,40,SE
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,41,AE
万邑通易递宝马邮平邮2,WINIT-EDS-MYPY2,42,UA
